scenario,run,epoch,total_reward,alpha,beta,r_search,r_wait
13,2,10,3308.0,0.8,0.6,4,2
14,0,1,2042.0,0.8,0.7,4,2
14,0,2,2044.0,0.8,0.7,4,2
14,0,3,2042.0,0.8,0.7,4,2
14,0,4,3313.0,0.8,0.7,4,2
14,0,5,3329.0,0.8,0.7,4,2
14,0,6,3300.0,0.8,0.7,4,2
14,0,7,3282.0,0.8,0.7,4,2
14,0,8,3314.0,0.8,0.7,4,2
14,0,9,3212.0,0.8,0.7,4,2
14,0,10,3233.0,0.8,0.7,4,2
14,1,1,2031.0,0.8,0.7,4,2
14,1,2,2044.0,0.8,0.7,4,2
14,1,3,3271.0,0.8,0.7,4,2
14,1,4,3115.0,0.8,0.7,4,2
14,1,5,3338.0,0.8,0.7,4,2
14,1,6,3326.0,0.8,0.7,4,2
14,1,7,3286.0,0.8,0.7,4,2
14,1,8,3326.0,0.8,0.7,4,2
14,1,9,3380.0,0.8,0.7,4,2
14,1,10,3366.0,0.8,0.7,4,2
14,2,1,2049.0,0.8,0.7,4,2
14,2,2,2054.0,0.8,0.7,4,2
14,2,3,2038.0,0.8,0.7,4,2
14,2,4,3385.0,0.8,0.7,4,2
14,2,5,3329.0,0.8,0.7,4,2
14,2,6,3312.0,0.8,0.7,4,2
14,2,7,3287.0,0.8,0.7,4,2
14,2,8,3264.0,0.8,0.7,4,2
14,2,9,3211.0,0.8,0.7,4,2
14,2,10,3272.0,0.8,0.7,4,2
15,0,1,2042.0,0.9,0.5,4,2
15,0,2,2038.0,0.9,0.5,4,2
15,0,3,2040.0,0.9,0.5,4,2
15,0,4,2044.0,0.9,0.5,4,2
15,0,5,2058.0,0.9,0.5,4,2
15,0,6,2038.0,0.9,0.5,4,2
15,0,7,2052.0,0.9,0.5,4,2
15,0,8,3639.0,0.9,0.5,4,2
15,0,9,3575.0,0.9,0.5,4,2
15,0,10,3624.0,0.9,0.5,4,2
15,1,1,2038.0,0.9,0.5,4,2
15,1,2,2040.0,0.9,0.5,4,2
15,1,3,3641.0,0.9,0.5,4,2
15,1,4,3620.0,0.9,0.5,4,2
15,1,5,3610.0,0.9,0.5,4,2
15,1,6,3620.0,0.9,0.5,4,2
15,1,7,3660.0,0.9,0.5,4,2
15,1,8,3564.0,0.9,0.5,4,2
15,1,9,3596.0,0.9,0.5,4,2
15,1,10,3515.0,0.9,0.5,4,2
15,2,1,2025.0,0.9,0.5,4,2
15,2,2,2046.0,0.9,0.5,4,2
15,2,3,2050.0,0.9,0.5,4,2
15,2,4,3571.0,0.9,0.5,4,2
15,2,5,3586.0,0.9,0.5,4,2
15,2,6,3575.0,0.9,0.5,4,2
15,2,7,3537.0,0.9,0.5,4,2
15,2,8,3560.0,0.9,0.5,4,2
15,2,9,3580.0,0.9,0.5,4,2
15,2,10,3606.0,0.9,0.5,4,2
16,0,1,2049.0,0.9,0.6,4,2
16,0,2,3582.0,0.9,0.6,4,2
16,0,3,3559.0,0.9,0.6,4,2
16,0,4,3555.0,0.9,0.6,4,2
16,0,5,3643.0,0.9,0.6,4,2
16,0,6,3610.0,0.9,0.6,4,2
16,0,7,3553.0,0.9,0.6,4,2
16,0,8,3614.0,0.9,0.6,4,2
16,0,9,3571.0,0.9,0.6,4,2
16,0,10,3543.0,0.9,0.6,4,2
16,1,1,2042.0,0.9,0.6,4,2
16,1,2,2062.0,0.9,0.6,4,2
16,1,3,2024.0,0.9,0.6,4,2
16,1,4,2042.0,0.9,0.6,4,2
16,1,5,3663.0,0.9,0.6,4,2
16,1,6,3631.0,0.9,0.6,4,2
16,1,7,3598.0,0.9,0.6,4,2
16,1,8,3566.0,0.9,0.6,4,2
16,1,9,3597.0,0.9,0.6,4,2
16,1,10,3548.0,0.9,0.6,4,2
16,2,1,2032.0,0.9,0.6,4,2
16,2,2,3624.0,0.9,0.6,4,2
16,2,3,3576.0,0.9,0.6,4,2
16,2,4,3602.0,0.9,0.6,4,2
16,2,5,3554.0,0.9,0.6,4,2
16,2,6,3610.0,0.9,0.6,4,2
16,2,7,3646.0,0.9,0.6,4,2
16,2,8,3580.0,0.9,0.6,4,2
16,2,9,3608.0,0.9,0.6,4,2
16,2,10,3586.0,0.9,0.6,4,2
17,0,1,2044.0,0.9,0.7,4,2
17,0,2,2042.0,0.9,0.7,4,2
17,0,3,2050.0,0.9,0.7,4,2
17,0,4,2048.0,0.9,0.7,4,2
17,0,5,2034.0,0.9,0.7,4,2
17,0,6,3601.0,0.9,0.7,4,2
17,0,7,3576.0,0.9,0.7,4,2
17,0,8,3648.0,0.9,0.7,4,2
17,0,9,3541.0,0.9,0.7,4,2
17,0,10,3581.0,0.9,0.7,4,2
17,1,1,2046.0,0.9,0.7,4,2
17,1,2,3573.0,0.9,0.7,4,2
17,1,3,3575.0,0.9,0.7,4,2
17,1,4,3600.0,0.9,0.7,4,2
17,1,5,3569.0,0.9,0.7,4,2
17,1,6,3606.0,0.9,0.7,4,2
17,1,7,3570.0,0.9,0.7,4,2
17,1,8,3547.0,0.9,0.7,4,2
17,1,9,3487.0,0.9,0.7,4,2
17,1,10,3579.0,0.9,0.7,4,2
17,2,1,2047.0,0.9,0.7,4,2
17,2,2,3569.0,0.9,0.7,4,2
17,2,3,3544.0,0.9,0.7,4,2
17,2,4,3635.0,0.9,0.7,4,2
17,2,5,3550.0,0.9,0.7,4,2
17,2,6,3580.0,0.9,0.7,4,2
17,2,7,3560.0,0.9,0.7,4,2
17,2,8,3609.0,0.9,0.7,4,2
17,2,9,3608.0,0.9,0.7,4,2
17,2,10,3592.0,0.9,0.7,4,2
18,0,1,2993.0,0.7,0.5,4,3
18,0,2,3013.0,0.7,0.5,4,3
18,0,3,3005.0,0.7,0.5,4,3
18,0,4,3000.0,0.7,0.5,4,3
18,0,5,3002.0,0.7,0.5,4,3
18,0,6,3009.0,0.7,0.5,4,3
18,0,7,3002.0,0.7,0.5,4,3
18,0,8,3019.0,0.7,0.5,4,3
18,0,9,3003.0,0.7,0.5,4,3
18,0,10,3116.0,0.7,0.5,4,3
18,1,1,3013.0,0.7,0.5,4,3
18,1,2,3004.0,0.7,0.5,4,3
18,1,3,2985.0,0.7,0.5,4,3
18,1,4,2986.0,0.7,0.5,4,3
18,1,5,2989.0,0.7,0.5,4,3
18,1,6,3008.0,0.7,0.5,4,3
18,1,7,2995.0,0.7,0.5,4,3
18,1,8,3008.0,0.7,0.5,4,3
18,1,9,3051.0,0.7,0.5,4,3
18,1,10,3045.0,0.7,0.5,4,3
18,2,1,2993.0,0.7,0.5,4,3
18,2,2,3008.0,0.7,0.5,4,3
18,2,3,3008.0,0.7,0.5,4,3
18,2,4,3000.0,0.7,0.5,4,3
18,2,5,3017.0,0.7,0.5,4,3
18,2,6,3001.0,0.7,0.5,4,3
18,2,7,3013.0,0.7,0.5,4,3
18,2,8,3008.0,0.7,0.5,4,3
18,2,9,3062.0,0.7,0.5,4,3
18,2,10,2988.0,0.7,0.5,4,3
19,0,1,3003.0,0.7,0.6,4,3
19,0,2,2990.0,0.7,0.6,4,3
19,0,3,3005.0,0.7,0.6,4,3
19,0,4,2997.0,0.7,0.6,4,3
19,0,5,2996.0,0.7,0.6,4,3
19,0,6,3009.0,0.7,0.6,4,3
19,0,7,2962.0,0.7,0.6,4,3
19,0,8,3011.0,0.7,0.6,4,3
19,0,9,3071.0,0.7,0.6,4,3
19,0,10,3105.0,0.7,0.6,4,3
19,1,1,3000.0,0.7,0.6,4,3
19,1,2,2996.0,0.7,0.6,4,3
19,1,3,3005.0,0.7,0.6,4,3
19,1,4,2997.0,0.7,0.6,4,3
19,1,5,3004.0,0.7,0.6,4,3
19,1,6,3003.0,0.7,0.6,4,3
19,1,7,2998.0,0.7,0.6,4,3
19,1,8,3033.0,0.7,0.6,4,3
19,1,9,3011.0,0.7,0.6,4,3
19,1,10,2993.0,0.7,0.6,4,3
19,2,1,2999.0,0.7,0.6,4,3
19,2,2,3014.0,0.7,0.6,4,3
19,2,3,2989.0,0.7,0.6,4,3
19,2,4,2977.0,0.7,0.6,4,3
19,2,5,2998.0,0.7,0.6,4,3
19,2,6,3004.0,0.7,0.6,4,3
19,2,7,3029.0,0.7,0.6,4,3
19,2,8,3058.0,0.7,0.6,4,3
19,2,9,2988.0,0.7,0.6,4,3
19,2,10,2996.0,0.7,0.6,4,3
